rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
144,"spotify:track:4f49sFQko7jHLEFd3tCf5p","Don Omar","Ojitos Chiquitos","UMLE - Machete",38,146,214,"349578"
145,"spotify:track:4eDjNcAyIuJFhQ31Fvvoc1","J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor","On Top of the World Music",83,157,198,"348565"
146,"spotify:track:5lCk0ZeN8h76QxNqHEGMZJ","Cris MJ","Vamo a Bailotear","Sonar LLC.",79,79,2,"347220"
147,"spotify:track:5PCOOngROV9jWsUViSy4Ed","j-hope, GloRilla","Killin' It Girl (feat. GloRilla)","BIGHIT MUSIC",113,152,5,"346859"
148,"spotify:track:4ObjArCiona7v0xbZ83rUZ","Nova y Jory","Bien Loco","JM World Music",93,169,66,"345650"
149,"spotify:track:5hWpXZOs7vpz0JD3CIylsb","ROA","FANTASÍA","Universal Music Latino",116,144,11,"345556"
150,"spotify:track:51YOvMn0xShoUKDdPecFbb","Beéle","morena (Bonus Track)","5020 Records",30,141,58,"345452"
151,"spotify:track:3YrTrs2hJbLklaBdhr4TrH","ROA, De La Rose, Luar La L, Yan Block, Omar Courtz","ETA - RMX","UMLE - Latino",55,164,32,"344939"
152,"spotify:track:3bn6CxnWxuvYZz3i9vE2dc","Mora, Ryan Castro","MIL VIDAS","Rimas Entertainment LLC.",41,143,8,"343682"
153,"spotify:track:71w26UK674tLfGtJFfDSjE","Arcángel","Ganas De Ti","Cinq Recordings",114,177,26,"343365"
154,"spotify:track:5jsDh2866hUFi7Dhks4Dvn","Ryan Castro, elkno, Blessd","Comerte a Besos - Remix","AWOO Corp./Sony Music Latin",48,153,33,"343294"
155,"spotify:track:5GTBdEjZe7zEDp1N0eCZE4","Peso Pluma, Estevan Plazola","HOLLYWOOD","2024 Double P Records",84,147,21,"340477"
156,"spotify:track:5yXt80BNZGbmHFd0NHZHNn","Grupo Firme","El Beneficio De La Duda","Music VIP Entertainment Presenta Grupo Firme",78,142,21,"339336"
157,"spotify:track:5hiHDuJOcBmB8wguFDPFjD","Frankie Ruiz","Deseándote","flyMusic Producciones",93,163,128,"338439"
158,"spotify:track:5jW3rF4URMdK7tO2xjS5EI","Paulo Londra","Tal Vez","WEA Latina",5,129,177,"337143"
159,"spotify:track:0BenZn1xELuxhb7Pjwyjxv","Don Omar, Plan B","Hooka","UME - Global Clearing House",84,180,175,"336443"
160,"spotify:track:6sRQjwLPdzADXhgZeKy6PQ","Frankie Ruiz","Tú Con El","flyMusic Producciones",44,150,162,"333516"
161,"spotify:track:5HCGrYR7g9u2X9Ju83yQLm","Adolescent's Orquesta","Virgen","Korta Records",69,176,135,"333422"
162,"spotify:track:6lX6l7OuA3qrnIRfdsr0dw","Blessd, Justin Quiles, Lenny Tavárez","Medallo","WEA Latina",1,-1,131,"333356"
163,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",1,182,158,"333340"
164,"spotify:track:5jJTqI5yteOyLWoDTjiHCO","Luis Enrique","Yo No Sé Mañana","Luis Enrique Oficial",77,178,31,"331040"
165,"spotify:track:614NVFo5csQqRnryl4jXs2","Héctor ""El Father"", Wisin & Yandel","El Telefono","Machete Music",165,-1,4,"330494"
166,"spotify:track:21nc3O8OncUv1jjSrC1ML2","Yiyo Sarante","Corazon de Acero","TranKYouTV",52,181,162,"329692"
167,"spotify:track:5lCMDnVpGTuFC7YejgpTIF","J Abdiel, iZaak","WYA","Hit Nation LLC",43,196,49,"329362"
168,"spotify:track:5nJaS3PEpyPfaWiLxIGtRX","Don Omar","Virtual Diva","UMLE - Machete",142,151,20,"329167"
169,"spotify:track:4NUt1fcnO9aQAELBgXq3Kr","Alejandro Fernández","Me Dediqué a Perderte","Columbia",143,199,12,"328406"
170,"spotify:track:0P05ImgE7sHrQIq9bSvyv5","Bryant Myers","Como Panas","eOne Urban",113,-1,18,"327001"
171,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",171,-1,1,"326901"
172,"spotify:track:2QcUxndr7skMMHLElnl4Bo","Jose Luis Carrascal","Como Duele El Frio","Codiscos",152,185,12,"326735"
173,"spotify:track:7zYAuEf69m4bQmJvw0MTka","W Sound, Ryan Castro, Ovy On The Drums","SQ - W Sound 04","WEA Latina",17,-1,31,"324275"
174,"spotify:track:1MfqPCs3Y722VK6zkWZ98Z","Ñejo & Dalmata","Pasarela","Urban Music",54,190,202,"323116"
175,"spotify:track:7hynhxDoDpgMIV12JuVtNa","J Balvin, Bad Bunny, Marciano Cantero","UN PESO","Universal Music Latino / Rimas",18,194,294,"319808"
176,"spotify:track:6r46lnXFbE9fr2d3KNaGbe","Romeo Santos","Imitadora","Sony Music Latin",29,174,81,"319316"
177,"spotify:track:132ALUzVLmqYB4UsBj5qD6","Paulo Londra","Adan y Eva","WEA Latina",2,166,180,"319231"
178,"spotify:track:0MT6qJd7wKlWjH7tP7oWHi","KAROL G","EL BARCO","UMLE - Latino",21,183,115,"318747"
179,"spotify:track:3J8blQzr6m5cPAlrmoHe93","Patricia Teherán","Tarde Lo Conoci","Codiscos",158,-1,7,"318539"
180,"spotify:track:1sbNEFiURUYfy024cJX8JG","Feid","Ferxxo 100","UMLE - Latino",4,168,163,"317697"
181,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",1,162,141,"317632"
182,"spotify:track:5ds1Hh3lo4JUF2vflqyayK","Yiyo Sarante","Manos de Tijera","TranKYouTV",72,-1,46,"316529"
183,"spotify:track:6eLQXa6uk2EW8drsiKbABZ","Fuerza Regida","TU SANCHO","Rancho Humilde/Street Mob Records/Sony Music Latin",183,-1,1,"314606"
184,"spotify:track:0zDO5avDZSXRwWzfuguIRb","Dimension Latina, Oscar D'León","Llorarás","Musart-Balboa",31,184,264,"313935"
185,"spotify:track:77dMSg2VHi2wwXjXNrmcrZ","Paulo Londra, Lenny Tavárez","Nena Maldición (feat. Lenny Tavárez)","WEA Latina",22,186,112,"313902"
186,"spotify:track:0x0Egm8IgaRNCfNKqkJrPt","KAROL G","Cuando Me Muera Te Olvido","Bichota/Interscope Records",28,109,4,"313158"
187,"spotify:track:3VvA1wSxukMLsvXoXtlwWx","Boza","Hecha Pa' Mi","Sony Music Latin",5,137,62,"312091"
188,"spotify:track:6d3q0F9VNtdxQUTVlRcet6","Canserbero","Querer Querernos","Fundacion El Canserbero",107,-1,51,"311958"
189,"spotify:track:2Bhmj4XK33InfhqKPxcJ1v","Aventura","Dile al Amor","Premium Latin Music",64,170,57,"311676"
190,"spotify:track:2cRtuTadVm0JzoW4NNTIqI","Plan B","Candy","Pina Records",101,-1,138,"311549"
191,"spotify:track:1iEwyiSLAunPR6uouANE0O","Maluma","El Perdedor","Sony Music Latin",75,175,32,"310795"
192,"spotify:track:7Iai1m3Y4ZQBPaj1cwpSzy","Pirlo, Ovi, Blessd","Gangsters En La Disco","WEA Latina",31,195,47,"310757"
193,"spotify:track:4ZGk5h0sIfeunWEKzXEoHr","Tito Rojas","Siempre Sere","Musical Productions",141,-1,23,"310547"
194,"spotify:track:3HoZTyT6zXnyDkiVUQRO9N","Almighty","Vacio","TUAlmighty",101,-1,6,"309796"
195,"spotify:track:5ADrOgdsPV1BjT8RmlV6PC","Ñengo Flow","En Las Noches Frias","Full Records",118,-1,22,"309472"
196,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",28,189,48,"309328"
197,"spotify:track:0GmiGIxXDNrePrHBpijYDp","Yannc, Darkiel, Eladio Carrion, Brray, Myke Towers","Sigue Bailandome","Full Harmony",197,-1,1,"308616"
198,"spotify:track:1SK2Xrd3XvqASmuNuN9ccM","Kapo, Manuel Turizo","ANTES","Sony Music Latin/La Industria",198,-1,1,"307309"
199,"spotify:track:2LcZ4LPsVN1yXP7MEOnSgg","Almighty","Indiferente","TUAlmighty",114,200,6,"306908"
200,"spotify:track:5mp6OBKCAjN4UYRvhOuUze","Oscar Maydon, Fuerza Regida","Tu Boda","Rancho Humilde/Sony Music Latin",11,-1,37,"306847"
