rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
128,"spotify:track:6e1T28Wkr7r8xciTXcwhKJ","Werenoi, Damso, Ninho","Triple V","PLR Music / PGP Records",1,112,14,"540298"
129,"spotify:track:2ewjMyCbNv2X1dB2qIDCwD","Damso","Θ. Macarena","Universal Music Division Carthage Music",1,138,329,"531430"
130,"spotify:track:72RjC359lcwhf1cON9ppls","Enrique Iglesias, Pitbull, IAmChino","Tamo Bien","Mr. 305 Records",130,157,3,"526209"
131,"spotify:track:0xVMWYKYXKpiKqejjCIMDQ","Werenoi, Damso","Pyramide","AllPoints",1,136,72,"524672"
132,"spotify:track:2OwLtx7vxRiaZKZNaK1OwZ","L2B, iDS, La Mano 1.9","Jump","Universal Music Distribution Deal",85,-1,4,"524633"
133,"spotify:track:5BZsQlgw21vDOAjoqkNgKb","Justin Bieber","DAISIES","ILH Production Co. LLC / Def Jam Recordings",133,-1,1,"520970"
134,"spotify:track:6JCjcuo4VKAP4bHhbHj6fe","Tiakola, Genezio, Prototype","PONA NINI","M3lo World / Atlantic Records",7,127,43,"519065"
135,"spotify:track:3AKOCHn1VOAqpHfLUa42YO","HOUZ, HDPRK, G29","Margiela","ALPHA RECORDS",132,132,4,"516601"
136,"spotify:track:3C0AfnuQGVmW9ww5mnBypl","Carbonne","Imagine","Play Two",1,140,63,"515770"
137,"spotify:track:4bZOVCf1wiNELuCH34rFDl","KeBlack","Complètement sonné","Mukongo Business",8,135,61,"515173"
138,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",55,162,96,"514230"
139,"spotify:track:2wAmparvQdtQemzY9I8PKv","Don Miguelo","Y Que Fue?","EMDP Music",135,153,6,"514018"
140,"spotify:track:2PWJx5FwMrMVEaTjwYait1","Favé, Gazo","FLASHBACK","109 Record / Morning Glory Music / Believe",2,172,86,"512140"
141,"spotify:track:7a3UKr4pcRFcWTxxBq4MOP","VEN1, Ramos.","Vanilla","NOUVO MONDE",14,148,46,"511610"
142,"spotify:track:7ih7pYSRZgWCTXuOmrnXjX","Fantomel, Kate Linn","Dame Un Grrr","Creator Records under exclusive license to Universal Music Romania",142,199,2,"508235"
143,"spotify:track:6oUTxLiDzwdZWsQyGFZ03d","Landy, Franglish","Tu veux quoi","AllPoints",143,-1,1,"506023"
144,"spotify:track:2a1o6ZejUi8U3wzzOtCOYw","Lucenzo, Big Ali","Vem Dancar Kuduro","Universal Music Distributed Labels",53,144,90,"504987"
145,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris MJ","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",2,139,67,"504204"
146,"spotify:track:58b4qoGKqRLGvVvRWnsj99","La Mano 1.9, SDM","SWAT","Universal Music Distribution Deal",73,74,3,"504185"
147,"spotify:track:1Rn5zyHq4ocm7L5LSplVAB","Guy2Bezbar, La Mano 1.9","Jerrican (feat. La Mano 1.9)","Blue Magic Corp",41,121,21,"501640"
148,"spotify:track:5zsyMNVs7jVSW2AJwDzN9n","Lebeey","A La Waneguaine","KALEMEWA PROD",111,131,4,"499704"
149,"spotify:track:6adxmK6P4PkfsQvq02suYT","Marine","Coeur maladroit","Columbia",145,145,2,"498457"
150,"spotify:track:4Q0qVhFQa7j6jRKzo3HDmP","Ed Sheeran","Sapphire","Gingerbread Man Records / Atlantic Records UK",117,161,3,"497372"
